METADATA,,,,,,,,,,,
title.en,ITU Carrier Codes ,,,,,,,,,,
,,,,,,,,,,,
DATA,type=array,,,,,,,,,,
country_name,country_code,organization,address_line_1,address_line_2,address_line_3,address_line_4,code,contact_person,tel,fax,email
Afghanistan ,AFG,Afghan Telecom Corporation,"4th Floor Post Parcel Bldg, Mohd Jan Khan Wat",KABUL,,,AFGC00,Mohammed Aslam Popal,+93 75 203 0999,+93 20 210 4455,m.aslam@afghantelecom.af
Afghanistan ,AFG,Afghan Wireless Communication Company AWCC,"AG Bank, Cinema Pamir",KABUL,,,AWCC,Amin Ramin,+93 70 877 877,,a.ramin@telsysint.com
Afghanistan ,AFG,Areeba Afghanistan,"House No. 35, Muslim St.","SHARE-NOW, KABUL",,,AFGAR,,+93 77 222 1881,,jsantelices@areeba.com.af
Afghanistan ,AFG,Etisalat Afghanistan,"Kabul Serena Hotel, Mohd Jan Khan Watt",KABUL,,,ETI078,Salem Saeed Al Kendi,+93 79 777 7111,,etisalatafghanistan@gmail.com
Afghanistan ,AFG,Ministry of Communications,KABUL,,,,MOC,,+93 20 210 1105,+93 20 210 1705,telcomdir@af-com-ministry.org
Afghanistan ,AFG,Telecom Development Company Afghanistan Ltd dba Roshan,"House #13, Main Street Wazir Akbar Khan",KABUL,,,9379,Samir Satchu,+93 79 999 9996,,samir.satchu@roshan.af
Albania (Republic of) ,ALB,Albania Telecom,42 Rue Myslym Shyri,TIRANA,,,AT,"Pirro Ciruna, Int'l Relation",+355 42 28406,+355 42 32200,
Algeria (People's Democratic Republic of) ,DZA,Algérie Telecom spa,"Route Nationale 5, cinq Maisons Mohammadia",EL HARRACH - ALGER,,,PTT,Chettih Messaoud,+213 21 823838,+213 21 823839,
Andorra (Principality of) ,AND,Servei de Telecomunicacions d'Andorra,Av. Meritxell 112,ANDORRA LA VELLA,,,STA,Ricard Rodrigo,+376 821021,+376 860600,
Angola (Republic of) ,AGO,Angola Telecom,Caixa Postal 625,LUANDA,,,AT,Simões Alexandre,+244 22 233 4102,+244 22 239 1688,
Angola (Republic of) ,AGO,Movicel Telecomunicaçôes Lda,"Rua Mãe Isabel No. 1, 1 andar",LUANDA,,,MOV,Feliciano Antonio,+244 22 269 2454,+244 22 244 0130,feliciano.antonio@movicel.net
Anguilla ,AIA,Cable and Wireless (W.I.) Ltd.,PO Box 77,THE VALLEY,,,CWAXA,"Robert Calvett, GM",+1 264 497 2650,+1 264 497 3390,
Antigua and Barbuda ,ATG,Cable and Wireless (W.I.) Ltd.,"PO Box 65, 42/44 St. Mary's Street","ST. JOHN'S, Antigua",,,CWANU,"Mark R. Macfee, GM",+1 268 462 0810,+1 268 462 0843,
Argentine Republic ,ARG,Telecom Argentina S.A.,Avda del Libertador 498 Piso 26,1001 BUENOS AIRES,,,TECO,Robert Grippai,+54 11 4968 1571,+54 11 4968 1072,
Argentine Republic ,ARG,Telefónica de Argentina S.A.,"Av. de Mayo 701, Piso 23",1083 BUENOS AIRES,,,TASA,Eduardo Gabelloni,+54 11 4328 7741,+54 11 4326 2821,
Argentine Republic ,ARG,Telefónica Larga Distancia de Argentina S.A.,Presidente Perón PB 1286,1038 BUENOS AIRES,,,TLDA,Hector Arman,+54 11 4370 1522,+54 11 4382 7509,harman@tlda.com.ar
Armenia (Republic of) ,ARM,Armenia Telephone Company,2 Aharonyan Street,YEREVAN 375014,,,ARMTEL,,+374 10 549 799,+374 10 289 717,hmayak.pepoyan@armentel.com
Armenia (Republic of) ,ARM,K Telecom CJSC (Vivacell),4/1 Argishti Street,YEREVAN 375015,,,ARM05,,+374 10 568 777,+374 10 569 222,info@vivacell.am
Aruba ,ABW,"SETAR, Servicio di Telecomunicacion di Aruba","Seroe Blanco, Hendrikstraat 20-22",ORANJESTAD,,,SETAR,Int'l Operational Affaires,+297 583 0950,+297 583 2977,
Australia ,AUS,AAPT Ltd,"AAP Centre, 9 Lang Street",SYDNEY NSW 2001,,,AAPT,Tony Chamberlain,+61 2 9377 7167,+61 2 9377 7781,
Australia ,AUS,AARNET Pty. Ltd.,GPO Box 1142,CANBERRA ACT 2601,,,AARNET,George McLaughlin,+61 2 6276 6900,+61 2 6276 6911,
Australia ,AUS,ACN 088 889 230 Ltd.,10 Ugerim Crescent,MITCHELL PARK VIC 3355,,,NCABLE,Garth Freeman,+61 3 5339 0400,+61 3 5338 1508,
Australia ,AUS,Agile Pty. Ltd.,31 York St.,"ADELAIDE, SA 5000",,,AGILE,John Lindsay,+61 8 8232 1234,+61 8 8232 4567,
Australia ,AUS,Airnet Commercial Australia Ltd.,149 Currie Street,"ADELAIDE, SA 5000",,,AIRNET,Peter Karidis,+61 8 8211 8211,+61 8 8211 9333,
Australia ,AUS,AMCOM Telecommunications,43 King Edward Road,OSBORNE PARK,,,AMCOM,Wally Borovac,+61 8 9244 6000,+61 8 9244 6001,
Australia ,AUS,Australia-Japan Cable (Australia) Ltd.,"Cedar House, 41 Cedar Avenue",HAMILTON - BERMUDA,,,AJC,John McKendry,+1 441 296 1007,+1 441 296 3519,
Australia ,AUS,Broadband Access Pty. Ltd.,10 Monaro Road,KOOYONG 3144,,,BBA,Mark D Bernard,+61 3 9662 9078,+61 3 9921 7177,
